Number;Address;OwnerFullName;StartDate;CountBefore;CountNow;PayDate;Price
221;Ленина, 15;Иванов Петр Иванович;01.03.2003;188;600;01.10.2022;70
222;Пушкина, 19;Петренко Илья Андреевич;10.05.2012;170;400;28.09.2022;85
223;Советская, 10;Макаренко Евгений Александрович;07.10.2021;210;230;01.10.2022;95
224;Ленина, 15;Язвенко Ксения Петровна;21.06.2022;180;200;03.10.2022;110
225;Ленина, 15;Губанов Алексей Александрович;15.04.2013;200;210;25.09.2022;150
226;Пушкина, 19;Иванов Петр Иванович;18.07.2019;100;130;05.10.2022;95
227;Пушкина, 19;Петренко Илья Андреевич;03.10.2022;110;350;01.10.2022;80
228;Ильича, 5;Евтушенко Николай Владимирович;05.02.2010;190;205;03.10.2022;75
229;Ленина, 15;Исаков Максим Валерьевич;22.06.2021;150;170;15.09.2022;95







